[0.        0.        0.5647247],[0.10682789 0.07299798 0.5591796 ],[0.02210664 0.3819012  0.33085138],[0.04760325 0.21726736 0.        ],[-0.11025707 -0.0721952   0.5701895 ],[-0.28398615  0.25685096  0.39877713],[-0.2359228   0.06880358  0.04964316],[0.07072021 0.04543987 0.82542336],[0.06376247 0.05244887 1.0690905 ],[0.04282518 0.12926161 1.1868052 ],[0.04305223 0.10207605 1.3147712 ],[-8.7358087e-02  1.0193586e-03  1.0424099e+00],[-0.2370004   0.2436797   0.94895583],[0.01459262 0.38530707 0.9468006 ],[0.2237474 0.1195913 1.0049416],[0.14316462 0.3795616  0.84369093],[0.01263867 0.41437277 0.9885128 ]
[0.       0.       0.557935],[0.10633026 0.06958098 0.5508947 ],[0.02039085 0.3829577  0.32880786],[0.04077213 0.20672101 0.        ],[-0.10935213 -0.06747074  0.5646154 ],[-0.27706975  0.26624507  0.39747426],[-0.23572329  0.06629491  0.05048472],[0.0684109  0.0478382  0.81354606],[0.06027754 0.05437338 1.0586774 ],[0.04080801 0.12930787 1.1756164 ],[0.03799587 0.09472626 1.2974042 ],[-0.0880023   0.00681114  1.0308838 ],[-0.23520875  0.25338525  0.94475347],[0.01341952 0.3845878  0.9394057 ],[0.21726172 0.11868411 0.9952374 ],[0.13720924 0.37396407 0.8351888 ],[0.00786588 0.40528113 0.9780015 ]
[0.         0.         0.55552465],[0.10599005 0.06797536 0.5489011 ],[0.02152649 0.38390607 0.32752892],[0.04234217 0.2127125  0.        ],[-0.10973902 -0.06749126  0.56308556],[-0.2764567   0.26729357  0.39788258],[-0.22583528  0.06754437  0.05238336],[0.06972534 0.04609206 0.81098676],[0.06090013 0.04968464 1.0570529 ],[0.04447069 0.1252948  1.1737611 ],[0.04126593 0.09212321 1.2960614 ],[-0.08799674  0.0052321   1.0272448 ],[-0.23848954  0.2564489   0.9402864 ],[0.01504973 0.38902116 0.9370936 ],[0.2196471  0.11339903 0.99546134],[0.14111228 0.3705843  0.83523875],[0.01453966 0.40115544 0.98062706]
[0.         0.         0.55355775],[0.10662586 0.06768338 0.5464122 ],[0.02173564 0.38398695 0.3277163 ],[0.04160479 0.2117326  0.        ],[-0.10970427 -0.0674092   0.5617553 ],[-0.27537322  0.27106506  0.39817804],[-0.22481304  0.06657633  0.05210102],[0.07009681 0.04587872 0.808056  ],[0.0616366  0.05095798 1.054866  ],[0.04488282 0.12631434 1.1702316 ],[0.04151467 0.08921462 1.2905161 ],[-0.08811186  0.00477338  1.024264  ],[-0.24146831  0.23722276  0.9300705 ],[0.00880654 0.3670047  0.91030335],[0.2191768  0.11442715 0.99397886],[0.13869335 0.3692143  0.8314346 ],[0.01419221 0.3974622  0.97323287]
[0.         0.         0.55027056],[0.1070464  0.0666548  0.54255927],[0.02058518 0.38491997 0.32741407],[0.04039518 0.20980898 0.        ],[-0.10979169 -0.06645844  0.5591082 ],[-0.27388644  0.2743883   0.39801192],[-0.22287077  0.06717998  0.05151212],[0.06941085 0.04678914 0.8034043 ],[0.06070927 0.05170733 1.0507749 ],[0.04359868 0.12654394 1.1657071 ],[0.03861941 0.08696055 1.2837824 ],[-0.08838241  0.00675449  1.0198537 ],[-0.2419315   0.23716772  0.9260121 ],[0.0086468  0.3644278  0.90501547],[0.2177023  0.11457509 0.9902069 ],[0.13546744 0.36719888 0.82759154],[0.01423681 0.39392257 0.9680259 ]
[0.         0.         0.54882234],[0.107115   0.06376701 0.53988016],[0.01914091 0.38527602 0.33075386],[0.03430294 0.20123735 0.        ],[-0.108837   -0.06193793  0.55848557],[-0.26642996  0.28236112  0.4008189 ],[-0.21876204  0.06921479  0.05272114],[0.06896286 0.04771432 0.7974348 ],[0.05901203 0.05134714 1.0463648 ],[0.04335142 0.12306368 1.1607614 ],[0.03816085 0.07772809 1.2725677 ],[-0.08713219  0.01115614  1.0149076 ],[-0.23343855  0.2451886   0.9241705 ],[0.01776792 0.3630303  0.9092163 ],[0.21299037 0.11039627 0.9877235 ],[0.1259889  0.35422173 0.82404023],[0.00857361 0.37746006 0.9610663 ]
[0.         0.         0.54771435],[0.10782494 0.06443866 0.53887314],[0.01813556 0.38377663 0.32753488],[0.0348651  0.19948277 0.        ],[-0.10961467 -0.06224591  0.5566533 ],[-0.26692802  0.2802096   0.3993585 ],[-0.21739279  0.06701067  0.05292657],[0.07120711 0.04584536 0.79752505],[0.06065448 0.04663077 1.0450389 ],[0.04502551 0.12018317 1.1603352 ],[0.03910715 0.07782739 1.2751263 ],[-0.08594993  0.00585711  1.0116675 ],[-0.23654342  0.24196681  0.9191756 ],[0.01495367 0.36274186 0.9029105 ],[0.21562698 0.10541034 0.9872848 ],[0.12486122 0.3540272  0.8233442 ],[0.00812793 0.37423092 0.9610957 ]
[0.        0.        0.5492568],[0.10761881 0.06357843 0.53997624],[0.02532853 0.38761088 0.33341956],[0.03643467 0.20446616 0.        ],[-0.11002001 -0.06110077  0.55808234],[-0.26161942  0.28306344  0.4044694 ],[-0.21559098  0.07289395  0.05292743],[0.07112816 0.04680251 0.7986659 ],[0.06126858 0.04904744 1.0469184 ],[0.04329792 0.12254399 1.1622202 ],[0.03864117 0.07903618 1.2743099 ],[-0.08634923  0.0093081   1.015105  ],[-0.23471594  0.24461925  0.92056835],[0.01697366 0.37058774 0.9065541 ],[0.21597108 0.10733348 0.9893135 ],[0.12304303 0.35212496 0.82213575],[0.00654708 0.37442893 0.95989645]
[0.         0.         0.54528004],[0.10735603 0.06198341 0.5356708 ],[0.01957503 0.38935018 0.33192658],[0.03396414 0.20256078 0.        ],[-0.1098403  -0.06005011  0.55461377],[-0.259803    0.2852583   0.40245768],[-0.21648559  0.07232431  0.05139425],[0.07091425 0.04685554 0.79272467],[0.06073859 0.04944676 1.0417455 ],[0.04206652 0.12240016 1.1549033 ],[0.03582308 0.07556242 1.2647231 ],[-0.08615468  0.01056039  1.0094595 ],[-0.23450458  0.24647486  0.9145888 ],[0.01829   0.3732396 0.9047031],[0.2148442  0.10597652 0.98418045],[0.12195762 0.34755325 0.8139053 ],[0.01231968 0.36839384 0.95406294]
[0.        0.        0.5428146],[0.10735219 0.06054597 0.5330993 ],[0.01941182 0.3896019  0.3315642 ],[0.03303911 0.2010512  0.        ],[-0.10974157 -0.05901183  0.5523285 ],[-0.2566827   0.28786647  0.40305978],[-0.21409667  0.07425857  0.05152979],[0.07050169 0.04680282 0.7884358 ],[0.06023531 0.04946345 1.0385922 ],[0.04081985 0.12246269 1.1504864 ],[0.03462075 0.07153326 1.2573833 ],[-0.08640641  0.01174971  1.0058947 ],[-0.23358661  0.24828738  0.9096762 ],[0.02058814 0.37490565 0.9026139 ],[0.213334   0.10498196 0.98104006],[0.11865075 0.34325254 0.807772  ],[0.01017824 0.36228955 0.94896376]
[0.        0.        0.5385732],[0.10784854 0.06133844 0.5299863 ],[0.01829284 0.39041668 0.32607305],[0.03013623 0.20036197 0.        ],[-0.11066203 -0.06066903  0.54727316],[-0.2583085   0.28763118  0.4035417 ],[-0.21580185  0.07540861  0.05367929],[0.07096539 0.04734847 0.7838013 ],[0.05857515 0.04927349 1.0338202 ],[0.03801019 0.12474459 1.1445711 ],[0.02994322 0.0738923  1.252531  ],[-0.08584009  0.01012856  1.0018188 ],[-0.23848754  0.25488865  0.9078054 ],[0.01660587 0.3900045  0.9031616 ],[0.21112472 0.10960519 0.9747224 ],[0.11859637 0.35422885 0.80645776],[0.00716735 0.38138807 0.94113356]
[0.        0.        0.5442208],[0.10746038 0.06309216 0.535793  ],[0.01642975 0.39406332 0.3318351 ],[0.02743618 0.20654199 0.        ],[-0.11016275 -0.06171975  0.5539935 ],[-0.25341585  0.29026145  0.41147766],[-0.21641201  0.08325359  0.05260938],[0.07017035 0.05636936 0.7884125 ],[0.05379949 0.06423062 1.0396869 ],[0.03153548 0.13672978 1.1511837 ],[0.02444862 0.08578491 1.2568098 ],[-0.09008917  0.02398354  1.0105913 ],[-0.24467316  0.2703364   0.91245484],[0.01493181 0.40719998 0.90807986],[0.20721161 0.12161833 0.9808563 ],[0.12634358 0.36713094 0.8112127 ],[0.0085365  0.40889132 0.945362  ]
[0.        0.        0.5407684],[0.10632458 0.06534949 0.5318868 ],[0.01269193 0.3972608  0.32931232],[0.02420231 0.20949271 0.        ],[-0.10872864 -0.06494781  0.54994464],[-0.264337    0.28845796  0.40678725],[-0.233233    0.08015046  0.04929525],[0.065738   0.05874908 0.78550386],[0.04847887 0.07260108 1.0357867 ],[0.0252964  0.14650208 1.1457165 ],[0.01473589 0.09426534 1.2523316 ],[-0.09394572  0.02950975  1.0069028 ],[-0.24938917  0.2740258   0.9073516 ],[0.01129417 0.4111011  0.9021574 ],[0.19955432 0.13251826 0.97477645],[0.11731077 0.37603128 0.805279  ],[0.00373022 0.41949907 0.93760884]
[0.        0.        0.5428629],[0.10674574 0.06483554 0.53388596],[0.01336637 0.39858338 0.32971612],[0.02502504 0.20941642 0.        ],[-0.10967043 -0.06440111  0.55252117],[-0.25589794  0.29007775  0.41129947],[-0.2239191   0.08259585  0.05151916],[0.06814033 0.06141847 0.7884494 ],[0.04794836 0.07651204 1.0381739 ],[0.02471451 0.15160584 1.1475767 ],[0.01462175 0.1012634  1.2569876 ],[-0.09470099  0.03118145  1.0085254 ],[-0.25177884  0.2742773   0.9077236 ],[0.01160255 0.41449094 0.8996312 ],[0.20065093 0.13525152 0.9778045 ],[0.11996956 0.38247705 0.80444384],[0.00567101 0.42980576 0.94031304]
[0.        0.        0.5417286],[0.10954122 0.06371866 0.5322725 ],[0.01476362 0.40627646 0.32982725],[0.02373833 0.21371046 0.        ],[-0.1129767  -0.06443654  0.55009604],[-0.25545883  0.29430312  0.41140693],[-0.22766817  0.0910109   0.05065536],[0.0643254  0.06511709 0.7894937 ],[0.03864871 0.08747867 1.0362097 ],[0.01258578 0.16395116 1.144911  ],[-1.3364851e-04  1.0849655e-01  1.2586200e+00],[-0.10420622  0.03845578  1.0038939 ],[-0.25983325  0.274974    0.89490455],[0.0054204  0.41460878 0.87630564],[0.19213748 0.1459809  0.975209  ],[0.12331167 0.39187348 0.79998434],[0.00740018 0.45026606 0.9153185 ]
[0.        0.        0.5417144],[0.10925015 0.06625541 0.53060496],[0.01484437 0.41080707 0.3346329 ],[0.02007373 0.21656188 0.        ],[-0.11370249 -0.06545767  0.55109096],[-0.25853717  0.29091656  0.41422468],[-0.23538144  0.09311655  0.04867467],[0.05628588 0.07262123 0.78927684],[0.02452071 0.1052452  1.0330887 ],[-0.00496086  0.18386239  1.14648   ],[-0.01757228  0.1252572   1.2568386 ],[-0.11692706  0.05583912  1.0026145 ],[-0.26808026  0.28785816  0.89044017],[-0.00271502  0.41945124  0.86153954],[0.17888072 0.16604328 0.97308993],[0.11226354 0.40631437 0.79193497],[-0.01606074  0.46826738  0.91043067]
[0.         0.         0.54431623],[0.10774822 0.06881914 0.532478  ],[0.00495371 0.40883726 0.3357544 ],[0.01197466 0.21808666 0.        ],[-0.11372058 -0.06805814  0.555165  ],[-0.27311507  0.2869785   0.41638306],[-0.25416157  0.09059423  0.04968733],[0.05252469 0.07834782 0.7909336 ],[0.01619311 0.12332517 1.0314138 ],[-0.01791395  0.20062166  1.1454458 ],[-0.03552003  0.14449096  1.2536783 ],[-0.12477323  0.07562441  1.0024999 ],[-0.27897844  0.31485197  0.89423287],[-0.01695098  0.4532182   0.8639116 ],[0.17156255 0.18541595 0.97075367],[0.0967613  0.42570126 0.7942121 ],[-0.023588    0.48910993  0.9113899 ]
