subjectid,OA_check
kGhQ1FQc,1
KyINSk8e,0
ybGzWMPA,0
b632WDpF,0
UDXlpEgF,0
SC4hmC2G,0
bqTsXpKl,0
en9ir5DJ,1
gO7Cpt1X,0
v8Q5mj77,0
EQSaAnPk,0
PA4bXBlr,0
g84PP6lh,0
Ydhtzejw,0
6MFubdNK,0
2SV6hYB2,0
Ycmah3Py,0
1ovgasC1,0
mgKwPHtm,0
PhCyuRvo,0
PKYf165r,0
a2SHGIQT,0
jS1r3uGd,0
89hcos29,0
pL2bL6bG,0
uQaqBtOs,0
Ni69ryle,0
MKMvRw1P,0
CAMRbQ1K,0
DVmTCuSO,0
GwvQ3hpI,1
oluI9aqT,0
JNh9mTC7,0
gZry6Nal,0
zgGJNHuU,0
erdKOQ7X,0
Y2Mijmxk,0
1y68rPwI,0
oDGL8XpK,1
pmYdj2Zc,0
zvYmZ0SS,0
zkO4XPXQ,0
MD7hICzN,1
JOmsdP6A,0
ZK2JlJsq,0
XbdRrkxS,0
47x9mXqX,0
JoT31ute,0
ekZNvuex,0
JbOQLWEi,0
bYuhoS4X,0
a6j4D1CL,0
ySEYmd1c,0
hxJw9Wjr,0
xvPEk4QE,0
9Ex5Byum,0
H1SDVD0X,0
Wyg30nvk,1
iJsDlll8,0
QLZHPS8I,0
AnEq8Uph,0
QJ2012XI,0
gudwNnwN,0
GITsdVy7,0
j7frlBsP,1
jtNISX4F,1
15IPa5iS,0
kFPZtJof,0
ydqOOaks,0
5msHe2ZM,1
hsX5kAeZ,0
18Ojgzwr,0
KHDHZ4c5,0
GboPBbli,0
g1eKN8fK,0
icUtiB0b,0
lxLc4Sek,0
yzutrWiF,0
XxnpBqCk,0
LAervIgm,0
DHAxflfI,0
maugZAlg,0
mMfeNBCP,0
HWfZASLi,0
K7pXSGJ9,0
oSFbRH4g,0
7Vgougy8,0
PVhE1xsN,0
GLKexPjc,0
ePyMog6n,0
Dkjr9F7k,0
QNEd2eGX,0
4OQQyQYB,0
VEBURFuk,0
J81QrOId,1
Rxka2Dfe,0
qUI9PiJS,0
VPAqPZQI,0
W0BHMtXT,0
Sh2ZCYBZ,0
A5ya7RsN,0
nGyTDr5q,0
iIzgYYRS,0
tJBmYuB7,0
3E8qiyD2,0
xM4HMws8,1
PftjeXxz,0
MeABXs62,0
vbBOikks,0
P5wlKd0H,0
Je470A3u,0
scqtqhQi,0
C5W4TIo7,0
AVXJQX9B,0
FDzVFOBn,0
Jbr8myiV,0
I3OdhHne,0
kbOfCieZ,0
POQZgYEM,0
g5sxqMgO,0
FT5fmOkP,0
e13bsM5a,0
JFoDIM9T,0
EuMyzKCY,0
LGqwZPty,0
YcE3Tlrl,1
FWDyTLr2,0
kEC7G8DP,0
8t6W3ykG,0
w2e3O8Lh,0
DmezZ8gC,0
pA5ISzHH,0
WxIscnh0,0
jqIKMt9a,0
jDDqCwxU,0
dpphCSNb,0
GESYi2xq,0
J8qdjHy8,0
B0Su5xdm,0
wQKnlZmx,0
0Srk33xU,0
1O18MObh,0
G0vvcncN,0
ebjrMM53,0
bb8G8L2i,0
j3iTbhie,0
fLfdcR9Z,0
qpxWRSOP,0
nqtTzjoP,0
ZC5aJTK8,0
qhvy63Op,0
CWf3eyvo,0
AA9IzAL1,0
Awp7L46g,0
FDrWmipp,0
Or1k3cMJ,0
nJNrFOAf,0
ucT4dryZ,0
tFbOCnVv,1
F6PuVthQ,0
WiKfwQG1,0
Cr8FATng,0
knng8zJ7,0
xgN0wuHW,0
T3aA8TCd,0
RpOypio5,0
pxr3J4Ow,0
8qkEAiHL,0
OPqAVdkO,0
pHIS8pPt,0
z8FFpnMp,0
yZHRUMz7,0
egXfYcVu,0
fvpJO6dv,0
8dLqK0KT,0
EzIx57IR,0
HAKCEJWo,0
3sWbPSJv,0
fd7pMJua,0
yXxNEYJT,0
Abnitm4V,0
8S2DLkDz,1
cIvtHO4P,0
6HTqE41x,0
x77WJ10Q,0
hPKYdqlF,0
Q0xDqlUa,0
ry6fCSwK,0
odbnl461,0
8elUiJYv,0
2geyDTFU,0
HpYl7dTS,0
N6l5Ci6H,0
DEsySNVw,0
ku64Cwle,0
xEIsrkiR,0
fihT2q9c,0
he6ZJvyq,1
to0wgxIG,0
jZibdOXF,0
iqQ28Zc4,0
NCK9pYwX,0
qiIHjZln,0
ZR3QAZmu,0
U0NC3iwE,0
GWB9Uvrb,0
YJWapbq3,1
3V48Be8p,0
PJ2s4y3i,0
RyGoZ15h,0
cr0mCZNx,0
98l8KpqV,0
gQS9V6ab,0
SnYQMMBW,0
Di0gPE0H,0
FsNM5n5s,0
nyqYkUq8,0
byzUmGWJ,0
mxKQbPdW,0
Qk66Dk9d,0
dG40RNan,0
MSYVAPeM,0
R7tbuVdD,0
peruznFM,0
UmopdCFg,0
dHsx22mJ,1
O2Kvv0GJ,0
Jz7HcSm7,0
KNaNAjLP,0
uSnrgTDe,0
ZbuDvcLk,0
RzvCZXa1,0
vLEhUnMj,0
h08bvb14,0
f8iKrVUp,0
bFIh8shd,0
Zj8QA2uq,1
yLg2ggAE,0
arPGgOEf,0
x6NSfgSJ,0
bOX5dXn8,0
yKdKYz23,0
RyeFHRQj,0
woyjGsIt,0
HA57ijek,0
yQpqLCPL,0
Ytlu6T69,1
3nkxadKi,0
bR8vqmI1,0
5y8S8nC6,0
4dh5A2nv,0
VKW2KzGC,0
caBwjxX8,0
Ybch0Nl3,0
w2Q5bJMv,0
Aq75NMHO,0
BvPM57u7,0
nkcnBgOa,0
uwtiYEpw,0
wBZ1RW0f,0
CvpdKx9g,0
zIDgWdoU,0
kHl7BBo3,0
i0oCTuhJ,0
xMJoV8Kz,0
Ar8WVEB8,0
CCBwJuQg,0
JKDP8D2e,0
hfnQyNnP,0
itQzLsA1,0
kGiGTaIW,0
C5LRwSjU,0
sVBFurAm,1
6PBhAWnI,0
0B2dfO4b,0
6U6mieI8,0
dmWVXiPM,0
ovgMFqBi,1
l58jyPMn,0
EL0qvt0M,1
nvvWjNuQ,0
obDMup1i,0
g2W4FUSb,0
JUvMRml6,0
RuSZ5rNP,0
ZyF5gFL7,0
UZ9Vsj7D,0
nyRH10Bw,0
uBFpj4lx,0
RZ584xig,0
DgMe11y3,0
nwg8qbmZ,0
RhRnfeBp,0
Cw8bz9tw,0
4RF13po6,0
